# started with learning_rate = 0.00150, r1_gamma = 7, num_fp16_res = 4
# metrics were turned off till 3030 kimg

# learning_rate = 0.00060, r1_gamma = 7
network-snapshot-003030       time 38m 46s      fid50k_full 4.0091
network-snapshot-003071       time 17m 11s      fid50k_full 3.7688
network-snapshot-003112       time 17m 18s      fid50k_full 3.7833
network-snapshot-003153       time 16m 25s      fid50k_full 3.6620
network-snapshot-003193       time 16m 32s      fid50k_full 3.6177
network-snapshot-003234       time 16m 14s      fid50k_full 3.6374
network-snapshot-003275       time 16m 16s      fid50k_full 3.5240
network-snapshot-003316       time 16m 12s      fid50k_full 3.5294
network-snapshot-003357       time 16m 14s      fid50k_full 3.6473
network-snapshot-003398       time 16m 21s      fid50k_full 3.4902
network-snapshot-003439       time 16m 09s      fid50k_full 3.4676
network-snapshot-003480       time 16m 09s      fid50k_full 3.5566
network-snapshot-003521       time 16m 18s      fid50k_full 3.8458
network-snapshot-003542       time 16m 20s      fid50k_full 3.4695
network-snapshot-003583       time 16m 11s      fid50k_full 3.4867
network-snapshot-003624       time 16m 09s      fid50k_full 3.5668
network-snapshot-003665       time 16m 13s      fid50k_full 3.6494
network-snapshot-003705       time 16m 13s      fid50k_full 3.6911
network-snapshot-003746       time 16m 08s      fid50k_full 3.7405
network-snapshot-003787       time 16m 08s      fid50k_full 3.6131
network-snapshot-003828       time 16m 15s      fid50k_full 3.6407
network-snapshot-003869       time 16m 09s      fid50k_full 3.5282
network-snapshot-003910       time 16m 18s      fid50k_full 3.5912
network-snapshot-003951       time 16m 11s      fid50k_full 3.8037
network-snapshot-003992       time 16m 11s      fid50k_full 3.9485
network-snapshot-004033       time 16m 18s      fid50k_full 3.6050
network-snapshot-004074       time 16m 08s      fid50k_full 3.5031
# learning_rate = 0.00040, r1_gamma = 6
network-snapshot-004074       time 16m 28s      fid50k_full 3.4653
network-snapshot-004115       time 16m 20s      fid50k_full 3.2125
network-snapshot-004156       time 16m 11s      fid50k_full 3.1526
network-snapshot-004197       time 16m 14s      fid50k_full 3.2256
network-snapshot-004237       time 16m 14s      fid50k_full 3.2392
network-snapshot-004278       time 16m 09s      fid50k_full 3.3404
